Electorate	Est.Elig	Gen	Maori	asof
Auckland Central	57400	41714	1661	2011-07-31
Bay of Plenty	53100	45723	4429	2011-07-31
Botany	49300	42579	1351	2011-07-31
Christchurch Central	52300	38063	1704	2011-07-31
Christchurch East	47200	40038	1790	2011-07-31
Clutha-Southland	49600	41752	1519	2011-07-31
Coromandel	51500	44702	3316	2011-07-31
Dunedin North	52100	39047	1210	2011-07-31
Dunedin South	48600	44716	1322	2011-07-31
East Coast	61900	40190	15854	2011-07-31
East Coast Bays	50500	45463	760	2011-07-31
Epsom	53200	46387	656	2011-07-31
Hamilton East	55400	42916	4613	2011-07-31
Hamilton West	53400	42957	6227	2011-07-31
Helensville	52600	45942	1620	2011-07-31
Hunua	50600	45305	3050	2011-07-31
Hutt South	50100	41496	3986	2011-07-31
Ilam	51300	43787	771	2011-07-31
Invercargill	48800	43933	2604	2011-07-31
Kaikōura	50000	43733	1858	2011-07-31
Mana	50300	43030	4782	2011-07-31
Māngere	46700	37514	5014	2011-07-31
Manukau East	51700	39851	4940	2011-07-31
Manurewa	51700	37466	8132	2011-07-31
Maungakiekie	52000	44249	2814	2011-07-31
Mt Albert	52500	42896	1955	2011-07-31
Mt Roskill	51700	43936	1351	2011-07-31
Napier	51900	43155	6005	2011-07-31
Nelson	48400	45545	1640	2011-07-31
New Lynn	51700	44150	1942	2011-07-31
New Plymouth	49000	44079	3151	2011-07-31
North Shore	52400	47388	927	2011-07-31
Northcote	51300	43770	1827	2011-07-31
Northland	63400	42914	12601	2011-07-31
Ōhariu	48700	45107	1397	2011-07-31
Ōtaki	52400	46290	3717	2011-07-31
Pakuranga	50800	44696	924	2011-07-31
Palmerston North	52600	41537	3287	2011-07-31
Papakura	54300	42237	6664	2011-07-31
Port Hills	48000	42645	1528	2011-07-31
Rangitata	51000	40310	4553	2011-07-31
Rangitīkei	51000	40310	4553	2011-07-31
Rimutaka	49500	44576	3123	2012-05-31
Rodney	52700	49728	1323	2012-05-31
Rongotai	52400	45912	2123	2012-05-31
Rotorua	61400	42711	14495	2012-05-31
Selwyn	52100	47418	1054	2012-05-31
Tāmaki	54200	49002	1876	2012-05-31
Taranaki-King Country	49900	41556	4890	2012-05-31
Taupō	55400	45730	6315	2012-05-31
Tauranga	54000	48136	3574	2012-05-31
Te Atatū	53300	43793	4133	2012-05-31
Tukituki	54500	44735	7340	2012-05-31
Waikato	51900	42177	5998	2012-05-31
Waimakariri	52100	47550	1397	2012-05-31
Wairarapa	51000	46426	4038	2012-05-31
Waitakere	49400	43091	3371	2012-05-31
Waitaki	53600	49539	1091	2012-05-31
Wellington Central	58700	47654	1470	2012-05-31
West Coast-Tasman	48700	44699	1771	2012-05-31
Whanganui	51800	43571	6104	2012-05-31
Whangarei	56500	46399	7125	2012-05-31
Wigram	56600	45560	1780	2012-05-31
Hauraki-Waikato		33154		2012-05-31
Ikaroa-Rāwhiti		32906		2012-05-31
Tāmaki Makaurau		35024		2012-05-31
Te Tai Hauāuru		32543		2012-05-31
Te Tai Tokerau		33624		2012-05-31
Te Tai Tonga		32158		2012-05-31
Waiariki		33154		2012-05-31
